business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,Food,Restaurants,Bars,CoffeeTea,SpecFood,FastFood,Bakeries,Desserts,SushiBars,Cafes,Canadian,Juice,Pubs,EthnicFood,Japanese,IceCream,Sandwiches,Breakfast,Lounges,Chinese,Beer,Burgers,Wine,Shopping,American,Monday,Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday,fullbar,beerandwine,PriceRange1,PriceRange2,PriceRange3,PriceRange4,FreeWiFi,quiet_noise,veryloud_noise,loud_noise,PaidWiFi,GoodForKids,RestaurantsReservations,Caters,RestaurantsTableService,RestaurantsTakeOut,OutdoorSeating,BikeParking,HasTV,RestaurantsGoodForGroups,RestaurantsDelivery,checkins,UserExp,compliment_count,Simplified_PostalCode,PricingRange,DaysOpen
C9oCPomVP0mtKa8z99E3gg,Bakery Gateau,"865 York Mills Road, Unit 1",Toronto,ON,M3B 1Y6,43.7540931,-79.3495479,4.5,8,1,"Bakeries, Food",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22,2,1,B,2,7
mlHC2XcU9Bows6cnYEmRgg,Mad Crush Wine Bar,582 College Street,Toronto,ON,M6G 1B3,43.6554201,-79.4133518,4,9,0,"Restaurants, Breakfast & Brunch, Bars, Modern European, Nightlife, Wine Bars",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,18:0-2:0,18:0-2:0,18:0-2:0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,8,1,0,G,3,3
jtlAfuINMCYVFpjwMgy2jw,Medium Rare,5241 Dundas Street W,Toronto,ON,M9B 1A5,43.6388793,-79.5376319,4,22,0,"Grocery, Restaurants, Steakhouses, Butcher, Food",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/1900 0:00,11:0-17:0,9:0-18:0,9:0-18:0,9:0-19:0,9:0-19:0,9:0-18:0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,47,1,1,B,3,6
RZ48zp2J2SWUy-lZ4PHZrw,Sanagan's Meat Locker,1513 Gerrard Street E,Toronto,ON,M4L 2A4,43.6727211,-79.3195719,5,3,1,"Meat Shops, Food, Specialty Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11:0-19:0,11:0-17:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,9:0-18:0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,L,2,7
IgQ8lSds3AgLFQsYsshUHQ,Gourmet Gringos,1921 Queen Street E,Toronto,ON,M4L 1H3,43.66904386,-79.30445355,3.5,29,0,"Restaurants, Mexican, Ethnic Food, Specialty Food, Food",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,13,4,0,L,2,7
6aOnrzf15RMqFNOQ-_ElIA,COCO Crafted Organic Chocolate,365 Jane Street,Toronto,ON,M6S 2E2,43.6575995,-79.4876834,5,15,1,"Chocolatiers & Shops, Specialty Food, Ice Cream & Frozen Yogurt, Desserts, Food",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0:0-0:0,12:0-17:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,23,6,0,S,2,7
9MFcLXNi4pbqHsdrH9giZw,LaPaz Batchoy Toronto,360 Wilson Avenue,Toronto,ON,M3H 1S9,43.7367949,-79.4385151,3.5,7,1,"Restaurants, Filipino, Soup, Fast Food",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/1900 0:00,15:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,H,2,6
6T8YFkN7xkGlBfLMqdp28w,Golden Bakeshop,3371 Lake Shore Boulevard W,Toronto,ON,M8W 1N1,43.59608674,-79.52677618,5,3,0,"Bakeries, Food",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,W,1,7
l7RCvKqA61Jzm98gaqIhvw,Brass Taps Pizza Pub,934 College St,Toronto,ON,M6H 1A4,43.6537865,-79.4261354,3.5,34,1,"Pizza, Nightlife, Restaurants, Pubs, Bars",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11:30-2:0,11:0-2:0,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,11:0-2:0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,53,3,0,H,2,7
ZAw8PJAopCs-Rd1X8Y4xGQ,Shallow Groove Lounge,559 College Street,Toronto,ON,M6G 1A9,43.6551489,-79.412212,1.5,3,1,"Nightlife, Lounges, Bars",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18:0-3:0,18:0-3:0,18:0-3:0,18:0-3:0,18:0-3:0,18:0-3:0,18:0-3:0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,G,2,7
JHlliXHouAUSHLtiiMyUqA,Cool Star,1985 Queen Street E,Toronto,ON,M4L 1J1,43.6697599,-79.3001663,4.5,3,0,"Vietnamese, Restaurants, Ice Cream & Frozen Yogurt, Food",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,L,2,7
ZK0Q-hn46I8JrRTleg_dYQ,Mai Thai Restaurant & Catering,2364 Yonge Street,Toronto,ON,M4P 2E6,43.7087727,-79.3987906,3,15,0,"Restaurants, Asian Fusion, Caterers, Event Planning & Services, Thai, Desserts, Food",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,27,6,0,P,2,7
fGdUxfeEWp9pn2sAa9rv2w,Roselle,362 King Street E,Toronto,ON,M5A 1K9,43.6535432,-79.3620478,4.5,171,1,"Food, Coffee & Tea, Bakeries, Ice Cream & Frozen Yogurt, Specialty Food",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0:0-0:0,9:0-15:0,1/1/1900 0:00,11:0-18:0,11:0-18:0,12:0-18:0,11:0-18:0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,284,21,1,A,2,6
